time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.999,0.0,0.001,0.0
1.0,0.9984,0.0006,0.0007,0.0003
2.0,0.99805,0.00085,0.0008,0.0003
3.0,0.99745,0.00125,0.00075,0.00055
4.0,0.9967,0.00175,0.00065,0.0009
5.0,0.9962,0.002,0.00075,0.00105
6.0,0.9954,0.0022,0.0013,0.0011
7.0,0.9942,0.0028,0.0018,0.0012
8.0,0.9927,0.0036,0.0024,0.0013
9.0,0.9905,0.00475,0.0031,0.00165
10.0,0.9877,0.0064,0.004,0.0019
11.0,0.9838,0.0091,0.00455,0.00255
12.0,0.9782,0.01155,0.00685,0.0034
13.0,0.97185,0.01495,0.00885,0.00435
14.0,0.9631,0.0198,0.01185,0.00525
15.0,0.95275,0.024,0.0163,0.00695
16.0,0.9394,0.03025,0.0211,0.00925
17.0,0.92255,0.0384,0.0267,0.01235
18.0,0.90095,0.0488,0.03465,0.0156
19.0,0.87345,0.06225,0.04355,0.02075
20.0,0.83935,0.07915,0.05485,0.02665
21.0,0.79935,0.09755,0.06885,0.03425
22.0,0.7506,0.1186,0.0875,0.0433
23.0,0.6977,0.13765,0.1095,0.05515
24.0,0.6343,0.16145,0.13485,0.0694
25.0,0.5672,0.1839,0.16015,0.08875
26.0,0.49305,0.20535,0.19045,0.11115
27.0,0.4219,0.21855,0.22415,0.1354
28.0,0.3529,0.22805,0.254,0.16505
29.0,0.285,0.23385,0.28275,0.1984
30.0,0.22755,0.22765,0.3108,0.234
31.0,0.1789,0.2105,0.33595,0.27465
32.0,0.13745,0.19105,0.3534,0.3181
33.0,0.1049,0.1699,0.36135,0.36385
34.0,0.07925,0.14845,0.3625,0.4098
35.0,0.0613,0.1248,0.35715,0.45675
36.0,0.04815,0.1039,0.34375,0.5042
37.0,0.0394,0.0848,0.32775,0.54805
38.0,0.03195,0.0709,0.3052,0.59195
39.0,0.02765,0.0559,0.28775,0.6287
40.0,0.02425,0.0451,0.2663,0.66435
41.0,0.0215,0.03635,0.2442,0.69795
42.0,0.0196,0.02975,0.2228,0.72785
43.0,0.0188,0.02415,0.20155,0.7555
44.0,0.0181,0.02045,0.18045,0.781
45.0,0.01895,0.01595,0.163,0.8021
46.0,0.0193,0.01365,0.14375,0.8233
47.0,0.0208,0.01165,0.12795,0.8396
48.0,0.02155,0.0101,0.11285,0.8555
49.0,0.02245,0.0088,0.10125,0.8675
50.0,0.0227,0.0083,0.09105,0.87795
51.0,0.0244,0.0068,0.08175,0.88705
52.0,0.02645,0.0061,0.07285,0.8946
53.0,0.02835,0.0054,0.06445,0.9018
54.0,0.03015,0.0044,0.0565,0.90895
55.0,0.0313,0.00445,0.05005,0.9142
56.0,0.03325,0.0042,0.04445,0.9181
57.0,0.03585,0.0036,0.03895,0.9216
58.0,0.0371,0.00405,0.03395,0.9249
59.0,0.03955,0.00325,0.0303,0.9269
60.0,0.04215,0.0034,0.02595,0.9285
61.0,0.04435,0.0036,0.02275,0.9293
62.0,0.0463,0.0035,0.0206,0.9296
63.0,0.04985,0.0035,0.0182,0.92845
64.0,0.05225,0.00305,0.0169,0.9278
65.0,0.0551,0.0028,0.0151,0.927
66.0,0.05765,0.00265,0.0133,0.9264
67.0,0.061,0.00215,0.01235,0.9245
68.0,0.0633,0.00235,0.01105,0.9233
69.0,0.0666,0.0024,0.0098,0.9212
70.0,0.07,0.0021,0.0096,0.9183
71.0,0.07245,0.00195,0.0086,0.917
72.0,0.0755,0.00185,0.00745,0.9152
73.0,0.07825,0.00185,0.00645,0.91345
74.0,0.081,0.00165,0.00555,0.9118
75.0,0.0841,0.00155,0.00495,0.9094
76.0,0.08685,0.00165,0.0043,0.9072
77.0,0.09005,0.00135,0.0039,0.9047
78.0,0.09345,0.0014,0.00335,0.9018
79.0,0.0965,0.00105,0.00315,0.8993
80.0,0.09895,0.00095,0.0031,0.897
81.0,0.10185,0.0009,0.00305,0.8942
82.0,0.10455,0.0012,0.00275,0.8915
83.0,0.10755,0.0011,0.00255,0.8888
84.0,0.1101,0.00085,0.0025,0.88655
85.0,0.11245,0.00095,0.00235,0.88425
86.0,0.1154,0.00085,0.00235,0.8814
87.0,0.1177,0.0008,0.0024,0.8791
88.0,0.1206,0.0009,0.00235,0.87615
89.0,0.1233,0.00055,0.0022,0.87395
90.0,0.1263,0.0006,0.002,0.8711
91.0,0.1285,0.0006,0.00195,0.86895
92.0,0.1312,0.0007,0.0018,0.8663
93.0,0.1345,0.00065,0.00165,0.8632
94.0,0.137,0.0007,0.00155,0.86075
95.0,0.13945,0.0006,0.0017,0.85825
96.0,0.142,0.0007,0.0017,0.8556
97.0,0.1446,0.00075,0.00155,0.8531
98.0,0.1474,0.0009,0.0015,0.8502
99.0,0.1498,0.00115,0.0013,0.84775
100.0,0.1521,0.0009,0.00145,0.84555
101.0,0.1542,0.00065,0.00155,0.8436
102.0,0.15645,0.00065,0.00155,0.84135
103.0,0.1597,0.0008,0.00125,0.83825
104.0,0.162,0.0006,0.0013,0.8361
105.0,0.16455,0.0005,0.0013,0.83365
106.0,0.167,0.00045,0.00115,0.8314
107.0,0.1691,0.0003,0.0012,0.8294
108.0,0.1715,0.0004,0.00105,0.82705
109.0,0.17445,0.00025,0.00095,0.82435
110.0,0.17755,0.00025,0.0009,0.8213
111.0,0.179,0.00045,0.0007,0.81985
112.0,0.1811,0.00045,0.00065,0.8178
113.0,0.1836,0.0005,0.00055,0.81535
114.0,0.1873,0.0004,0.0006,0.8117
115.0,0.1895,0.00015,0.0008,0.80955
116.0,0.19215,0.0003,0.00065,0.8069
117.0,0.1943,0.0004,0.0008,0.8045
118.0,0.19665,0.0004,0.0007,0.80225
119.0,0.1991,0.0004,0.00075,0.79975
120.0,0.20175,0.00045,0.00065,0.79715
121.0,0.20405,0.00025,0.00075,0.79495
122.0,0.2062,0.00025,0.00075,0.7928
123.0,0.20825,0.0003,0.00075,0.7907
124.0,0.21015,0.00035,0.0007,0.7888
125.0,0.21265,0.0004,0.0005,0.78645
126.0,0.21425,0.0003,0.00065,0.7848
127.0,0.217,0.00035,0.00065,0.782
128.0,0.2189,0.00035,0.0007,0.78005
129.0,0.2213,0.00045,0.0005,0.77775
130.0,0.22345,0.0004,0.0005,0.77565
131.0,0.22555,0.00055,0.00045,0.77345
132.0,0.2281,0.00055,0.00045,0.7709
133.0,0.2303,0.00055,0.0005,0.76865
134.0,0.2324,0.0005,0.0006,0.7665
135.0,0.23415,0.00035,0.0008,0.7647
136.0,0.2361,0.0003,0.00085,0.76275
137.0,0.23825,0.00045,0.0007,0.7606
138.0,0.24005,0.00055,0.00085,0.75855
139.0,0.24205,0.0005,0.00085,0.7566
140.0,0.2435,0.00055,0.0009,0.75505
141.0,0.2452,0.0007,0.00095,0.75315
142.0,0.2472,0.00065,0.0011,0.75105
143.0,0.24895,0.00065,0.0013,0.7491
144.0,0.25105,0.00085,0.0014,0.7467
145.0,0.253,0.0008,0.0015,0.7447
146.0,0.2554,0.00075,0.0016,0.74225
147.0,0.25705,0.00135,0.0016,0.74
148.0,0.259,0.0013,0.00195,0.73775
149.0,0.26015,0.0014,0.00215,0.7363
150.0,0.2621,0.0014,0.00225,0.73425
151.0,0.26335,0.00145,0.00225,0.73295
152.0,0.26535,0.0014,0.0022,0.73105
153.0,0.2669,0.00115,0.0025,0.72945
154.0,0.26895,0.0012,0.00255,0.7273
155.0,0.27035,0.0017,0.00235,0.7256
156.0,0.27175,0.00175,0.00265,0.72385
157.0,0.27345,0.0017,0.00285,0.722
158.0,0.2748,0.00205,0.00275,0.7204
159.0,0.27635,0.002,0.0027,0.71895
160.0,0.2773,0.00225,0.00275,0.7177
161.0,0.27885,0.00225,0.003,0.7159
162.0,0.2802,0.0024,0.0031,0.7143
163.0,0.2817,0.00245,0.00345,0.7124
164.0,0.2829,0.0025,0.00335,0.71125
165.0,0.2837,0.00305,0.0036,0.70965
166.0,0.2849,0.0031,0.0039,0.7081
167.0,0.28595,0.0031,0.0042,0.70675
168.0,0.28685,0.00305,0.0047,0.7054
169.0,0.28755,0.003,0.0053,0.70415
170.0,0.28915,0.0031,0.00565,0.7021
171.0,0.2894,0.00355,0.00595,0.7011
172.0,0.2898,0.0039,0.00595,0.70035
173.0,0.29,0.00415,0.00635,0.6995
174.0,0.29025,0.00485,0.0067,0.6982
175.0,0.29105,0.0044,0.00765,0.6969
176.0,0.2907,0.00515,0.00775,0.6964
177.0,0.2907,0.0055,0.0083,0.6955
178.0,0.2913,0.00565,0.0085,0.69455
179.0,0.29085,0.0057,0.00945,0.694
180.0,0.2906,0.0063,0.0104,0.6927
181.0,0.29025,0.0065,0.0112,0.69205
182.0,0.2903,0.0074,0.01085,0.69145
183.0,0.28905,0.0082,0.0111,0.69165
184.0,0.2887,0.00835,0.01175,0.6912
185.0,0.2881,0.00875,0.0124,0.69075
186.0,0.2877,0.00925,0.0131,0.68995
187.0,0.2862,0.01,0.014,0.6898
188.0,0.28555,0.01005,0.0147,0.6897
189.0,0.28365,0.01105,0.016,0.6893
190.0,0.2822,0.0112,0.0171,0.6895
191.0,0.28015,0.01245,0.0181,0.6893
192.0,0.27815,0.01365,0.01965,0.68855
193.0,0.27595,0.0145,0.0215,0.68805
194.0,0.2737,0.015,0.02225,0.68905
195.0,0.2708,0.01595,0.02375,0.6895
196.0,0.26775,0.01665,0.0252,0.6904
197.0,0.26475,0.0172,0.02785,0.6902
198.0,0.2613,0.0184,0.02845,0.69185
199.0,0.25875,0.01785,0.02955,0.69385
200.0,0.2546,0.0189,0.03015,0.69635
201.0,0.251,0.0196,0.0309,0.6985
202.0,0.24745,0.01935,0.03195,0.70125
203.0,0.2432,0.02035,0.03285,0.7036
204.0,0.23935,0.02035,0.03465,0.70565
205.0,0.2345,0.0217,0.0347,0.7091
206.0,0.2313,0.02135,0.0368,0.71055
207.0,0.22795,0.0205,0.0386,0.71295
208.0,0.2238,0.022,0.0382,0.716
209.0,0.21915,0.0225,0.0399,0.71845
210.0,0.2141,0.02255,0.04125,0.7221
211.0,0.2093,0.0225,0.04305,0.72515
212.0,0.20515,0.02235,0.04355,0.72895
213.0,0.2024,0.02335,0.04265,0.7316
214.0,0.1977,0.0244,0.0425,0.7354
215.0,0.19465,0.0235,0.0435,0.73835
216.0,0.1905,0.02365,0.044,0.74185
217.0,0.1876,0.02285,0.0454,0.74415
218.0,0.18355,0.02405,0.04495,0.74745
219.0,0.17955,0.02395,0.04615,0.75035
220.0,0.1758,0.023,0.04645,0.75475
221.0,0.17235,0.02265,0.0467,0.7583
222.0,0.1685,0.0225,0.04655,0.76245
223.0,0.1653,0.0232,0.0468,0.7647
224.0,0.16275,0.02235,0.04615,0.76875
225.0,0.16125,0.0215,0.04575,0.7715
226.0,0.15925,0.0202,0.0457,0.77485
227.0,0.1565,0.0214,0.0446,0.7775
228.0,0.15585,0.02065,0.04425,0.77925
229.0,0.1543,0.01925,0.04435,0.7821
230.0,0.15305,0.01835,0.0442,0.7844
231.0,0.1525,0.0168,0.0441,0.7866
232.0,0.1502,0.01755,0.04215,0.7901
233.0,0.1488,0.0176,0.0411,0.7925
234.0,0.1471,0.0169,0.04105,0.79495
235.0,0.14605,0.01745,0.03965,0.79685
236.0,0.145,0.01695,0.0384,0.79965
237.0,0.14505,0.01635,0.0372,0.8014
238.0,0.1453,0.0153,0.03615,0.80325
239.0,0.14515,0.01485,0.0356,0.8044
240.0,0.1444,0.01525,0.0341,0.80625
241.0,0.14565,0.0144,0.03375,0.8062
242.0,0.14525,0.0133,0.0339,0.80755
243.0,0.14595,0.0128,0.0329,0.80835
244.0,0.14805,0.01235,0.03075,0.80885
245.0,0.14925,0.0121,0.0296,0.80905
246.0,0.14955,0.01205,0.02945,0.80895
247.0,0.1498,0.0117,0.02895,0.80955
248.0,0.15055,0.0121,0.02815,0.8092
249.0,0.1514,0.01275,0.02735,0.8085
250.0,0.15235,0.0122,0.0277,0.80775
251.0,0.15285,0.0114,0.0271,0.80865
252.0,0.15325,0.0109,0.02675,0.8091
253.0,0.15375,0.01105,0.02625,0.80895
254.0,0.1541,0.0114,0.0255,0.809
255.0,0.1544,0.01175,0.0252,0.80865
256.0,0.15635,0.01125,0.0247,0.8077
257.0,0.1569,0.01155,0.0254,0.80615
258.0,0.1574,0.0114,0.02495,0.80625
259.0,0.15835,0.0106,0.02555,0.8055
260.0,0.1598,0.0103,0.0239,0.806
261.0,0.16175,0.0096,0.0234,0.80525
262.0,0.163,0.0101,0.02235,0.80455
263.0,0.1642,0.01015,0.0218,0.80385
264.0,0.1661,0.00995,0.02175,0.8022
265.0,0.16785,0.0095,0.0208,0.80185
266.0,0.17055,0.00975,0.02075,0.79895
267.0,0.1717,0.0101,0.02095,0.79725
268.0,0.17355,0.00995,0.02095,0.79555
269.0,0.17495,0.00975,0.021,0.7943
270.0,0.17635,0.01005,0.02125,0.79235
271.0,0.1774,0.01005,0.02095,0.7916
272.0,0.17925,0.00955,0.021,0.7902
273.0,0.1788,0.0107,0.02075,0.78975
274.0,0.18005,0.0104,0.02055,0.789
275.0,0.1815,0.00985,0.0207,0.78795
276.0,0.1822,0.01045,0.02,0.78735
277.0,0.183,0.0101,0.02035,0.78655
278.0,0.18345,0.0107,0.02045,0.7854
279.0,0.18525,0.0108,0.0201,0.78385
280.0,0.1881,0.0105,0.0205,0.7809
281.0,0.19015,0.01095,0.0207,0.7782
282.0,0.19125,0.0119,0.02005,0.7768
283.0,0.1925,0.0116,0.02085,0.77505
284.0,0.1931,0.01175,0.022,0.77315
285.0,0.19605,0.01085,0.0223,0.7708
286.0,0.1974,0.0105,0.0221,0.77
287.0,0.1974,0.01115,0.02275,0.7687
288.0,0.1989,0.00985,0.0226,0.76865
289.0,0.20055,0.0104,0.0213,0.76775
290.0,0.2024,0.0097,0.02155,0.76635
291.0,0.20195,0.0109,0.02125,0.7659
292.0,0.20305,0.01105,0.02095,0.76495
293.0,0.2047,0.01125,0.02005,0.764
294.0,0.20635,0.01075,0.0208,0.7621
295.0,0.20725,0.01135,0.0208,0.7606
296.0,0.2076,0.0114,0.0218,0.7592
297.0,0.2073,0.01245,0.0222,0.75805
298.0,0.20745,0.0123,0.0236,0.75665
299.0,0.20725,0.01365,0.0235,0.7556
300.0,0.20645,0.0148,0.024,0.75475
301.0,0.20655,0.0143,0.02515,0.754
302.0,0.20645,0.01415,0.0265,0.7529
303.0,0.20735,0.0135,0.02695,0.7522
304.0,0.2073,0.01485,0.02615,0.7517
305.0,0.2073,0.01525,0.02585,0.7516
306.0,0.20715,0.0151,0.02725,0.7505
307.0,0.20745,0.0153,0.0275,0.74975
308.0,0.2084,0.01465,0.0274,0.74955
309.0,0.2085,0.01455,0.02815,0.7488
310.0,0.2085,0.01435,0.0288,0.74835
311.0,0.2083,0.01415,0.0288,0.74875
312.0,0.20735,0.01495,0.02995,0.74775
313.0,0.20735,0.0144,0.03055,0.7477
314.0,0.2062,0.0156,0.0307,0.7475
315.0,0.20555,0.01565,0.0317,0.7471
316.0,0.20485,0.0167,0.03085,0.7476
317.0,0.2035,0.0177,0.03135,0.74745
318.0,0.2025,0.0179,0.0321,0.7475
319.0,0.2027,0.0177,0.0324,0.7472
320.0,0.20275,0.01755,0.03255,0.74715
321.0,0.20395,0.01615,0.03215,0.74775
322.0,0.20495,0.0163,0.0325,0.74625
323.0,0.2035,0.01655,0.0339,0.74605
324.0,0.2015,0.01765,0.03345,0.7474
325.0,0.2008,0.01795,0.03325,0.748
326.0,0.20005,0.01875,0.03245,0.74875
327.0,0.2003,0.0174,0.0329,0.7494
328.0,0.2003,0.01685,0.03305,0.7498
329.0,0.20015,0.01715,0.0331,0.7496
330.0,0.20035,0.01635,0.03445,0.74885
331.0,0.19895,0.01815,0.03305,0.74985
332.0,0.19875,0.01765,0.0348,0.7488
333.0,0.1964,0.0195,0.03455,0.74955
334.0,0.1959,0.0201,0.0343,0.7497
335.0,0.1953,0.0192,0.036,0.7495
336.0,0.1958,0.0179,0.0373,0.749
337.0,0.19385,0.01905,0.03765,0.74945
338.0,0.1923,0.0188,0.03825,0.75065
339.0,0.192,0.0189,0.03855,0.75055
340.0,0.1911,0.01885,0.0383,0.75175
341.0,0.19055,0.01885,0.0382,0.7524
342.0,0.1889,0.01905,0.039,0.75305
343.0,0.1871,0.0201,0.039,0.7538
344.0,0.18495,0.01975,0.03905,0.75625
345.0,0.1838,0.0205,0.03845,0.75725
346.0,0.18215,0.0206,0.03825,0.759
347.0,0.18305,0.01895,0.03845,0.75955
348.0,0.1823,0.0193,0.0378,0.7606
349.0,0.1817,0.01905,0.03665,0.7626
350.0,0.18175,0.01915,0.0364,0.7627
351.0,0.1822,0.0181,0.0363,0.7634
352.0,0.18095,0.0185,0.03715,0.7634
353.0,0.1805,0.01885,0.0368,0.76385
354.0,0.17995,0.01965,0.0367,0.7637
355.0,0.1799,0.01965,0.0366,0.76385
356.0,0.1808,0.0193,0.03715,0.76275
357.0,0.17995,0.0182,0.0387,0.76315
358.0,0.17875,0.018,0.03845,0.7648
359.0,0.17815,0.01795,0.04005,0.76385
360.0,0.17665,0.01905,0.039,0.7653
361.0,0.17595,0.0183,0.0393,0.76645
362.0,0.17555,0.0198,0.0383,0.76635
363.0,0.17495,0.01805,0.03945,0.76755
364.0,0.1751,0.0177,0.0392,0.768
